advanced,IPA,Từ loại,Nghĩa Tiếng Việt,Nghĩa Tiếng Anh,Ví dụ,Nghĩa ví dụ,Ví dụ,Nghĩa ví dụ,Trình độ,Audio từ vựng,Ảnh từ vựng,Ảnh ví dụ,Ảnh ví dụ,Đục lỗ ví dụ,Đục lỗ ví dụ,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,topic
assemble,/əˈsembl/,verb,tập hợp,to bring people or things together as a group,The manager assembled the team for an urgent meeting.,Người quản lý đã tập hợp nhóm cho một cuộc họp khẩn cấp.,They will assemble the prefabricated units on site.,Họ sẽ lắp ráp các đơn vị tiền chế tại công trường.,B1,,,,,The manager _____________ the team for an urgent meeting.,They will _____________ the prefabricated units on site.,manual,Thủ công,impeach,luận tội,appalling,"kinh khủng, tồi tệ, gây sốc",conversion,sự chuyển đổi,erratic,"thất thường, không ổn định",Industries: from manufacturing to service
privatization,/ˌpraɪvətaɪˈzeɪʃn/,noun,sự tư nhân hóa,the act of privatizing something,There were fears that privatization would lead to job losses.,Đã có những lo ngại rằng việc tư nhân hóa sẽ dẫn đến mất việc làm.,The privatization of public services often leads to increased efficiency but higher costs for consumers.,Việc tư nhân hóa các dịch vụ công thường dẫn đến tăng hiệu quả nhưng chi phí cao hơn cho người tiêu dùng.,C1,,,,,There were fears that _____________ would lead to job losses.,The _____________ of public services often leads to increased efficiency but higher costs for consumers.,memorable,"đáng nhớ, khó quên",intervention,sự can thiệp,perk,Phúc lợi,reaction,Phản ứng,router,bộ định tuyến,Industries: from manufacturing to service
component,/kəmˈpəʊnənt/,noun,thành phần,part of whole,Each component must be checked.,Mỗi thành phần phải được kiểm tra.,Trust is a key component of any successful and lasting relationship.,Sự tin tưởng là một thành phần quan trọng của bất kỳ mối quan hệ thành công và lâu dài nào.,B2,,,,,Each _____________ must be checked.,Trust is a key _____________ of any successful and lasting relationship.,origin,"nguồn gốc, khởi đầu",pacifism,"chủ nghĩa hòa bình, chủ nghĩa phản đối chiến tranh",participant,Người tham gia,discontent,Bất mãn,tertiary,Bậc ba,Industries: from manufacturing to service
subsidy,/ˈsʌbsədi/,Noun,"trợ cấp, trợ giá",money paid by a government to reduce the costs of services or goods,The government provides subsidies for renewable energy projects.,Chính phủ cung cấp trợ cấp cho các dự án năng lượng tái tạo.,Farmers receive subsidies to support agricultural production.,Nông dân nhận trợ cấp để hỗ trợ sản xuất nông nghiệp.,C1,,,,,The government provides _____________ for renewable energy projects.,Farmers receive _____________ to support agricultural production.,infect,"lây nhiễm, nhiễm trùng",indulge,"nuông chiều, xả hơi, đam mê",overturn,"lật lại, bác bỏ (phán quyết)",Bronze Age,thời đại đồ đồng,warm-blooded,Động vật máu nóng,Industries: from manufacturing to service
biotechnology,ˌbaɪəʊtekˈnɒlədʒi,noun,công nghệ sinh học,biological tech,The company is a leader in biotechnology.,Công ty là người dẫn đầu trong lĩnh vực công nghệ sinh học.,Biotechnology has many medical applications.,Công nghệ sinh học có nhiều ứng dụng trong y học.,C1,,,,,The company is a leader in _____________.,_____________ has many medical applications.,intent,quyết tâm,have finger on the pulse of,nắm bắt được tình hình,homeopathic,vi lượng đồng căn,wrongly,sai trái,store card,thẻ thành viên,Technology and its impact
desktop computer,ˌdesktɒp kəmˈpjuːtə(r),noun,máy tính để bàn,a computer designed to sit on a desk,I use a desktop computer at home.,Tôi sử dụng một máy tính để bàn ở nhà.,My desktop computer is faster than my laptop.,Máy tính để bàn của tôi nhanh hơn máy tính xách tay của tôi.,B1,,,,,I use a _____________ at home.,My _____________ is faster than my laptop.,oatmeal,bột yến mạch,allergic reaction,phản ứng dị ứng,locum,bác sĩ/người làm thay ca,airtime,thời lượng phát sóng,withdraw,rút tiền,Technology and its impact
e-reader,ˈiː riːdə(r),noun,máy đọc sách điện tử,electronic reader,My e-reader is lightweight and easy to carry.,Máy đọc sách điện tử của tôi nhẹ và dễ mang theo.,I prefer an e-reader to a tablet for reading.,Tôi thích máy đọc sách điện tử hơn máy tính bảng để đọc sách.,B2,,,,,My _____________ is lightweight and easy to carry.,I prefer an _____________ to a tablet for reading.,plaque,mảng bám,bowel,ruột,obstetrician,bác sĩ sản khoa,broadcast journalism,báo hình,agony aunt,người phụ trách mục gỡ rối,Technology and its impact
ergonomics,ˌɜːɡəˈnɒmɪks,noun,công thái học,the study of how people work safely,Good ergonomics can prevent back pain.,Công thái học tốt có thể ngăn ngừa đau lưng.,The office chair is designed with ergonomics in mind.,Ghế văn phòng được thiết kế với công thái học.,C1,,,,,Good _____________ can prevent back pain.,The office chair is designed with _____________ in mind.,porridge,cháo,disorder,"sự rối loạn, bệnh lý",primary care,chăm sóc sức khỏe ban đầu,column inch,in-xơ cột,agony column,mục gỡ rối tơ lòng,Technology and its impact
smartphone,ˈsmɑːtfəʊn,noun,điện thoại thông minh,a phone with advanced features,I use my smartphone for everything.,Tôi sử dụng điện thoại thông minh của mình cho mọi thứ.,The smartphone has changed the way we live.,Điện thoại thông minh đã thay đổi cách chúng ta sống.,B2,,,,,I use my _____________ for everything.,The _____________ has changed the way we live.,heavy industry,công nghiệp nặng,exceed,vượt quá,on ones feet,đứng vững,press conference,cuộc họp báo,booklet,cuốn sách nhỏ,Technology and its impact
tablet,ˈtæblət,noun,máy tính bảng,a small flat computer that you touch to operate,You should take one tablet a day.,Bạn nên uống một viên thuốc mỗi ngày.,He bought a new tablet for reading e-books.,Anh ấy đã mua một chiếc máy tính bảng mới để đọc sách điện tử.,B2,,,,,You should take one _____________ a day.,He bought a new _____________ for reading e-books.,high technology,công nghệ cao,gastrointestinal,thuộc về dạ dày-ruột,tremble,"run rẩy, lập cập",press release,thông cáo báo chí,newsletter,bản tin,Technology and its impact
touchscreen,/ˈtʌtʃskriːn/,noun,Màn hình cảm ứng,a type of computer screen that you touch in order to tell the computer what to do or to get information,All transactions are done on a touchscreen.,Mọi giao dịch đều được thực hiện trên màn hình cảm ứng.,The new kiosk features a large touchscreen.,Ki-ốt mới có màn hình cảm ứng lớn.,B1,,,,,All transactions are done on a _____________.,The new kiosk features a large _____________.,acknowledge,thừa nhận,relevant,"có liên quan, thích đáng",crawl,"Bò, trườn",cruise,"du thuyền, chuyến đi biển",generate,"tạo ra, sinh ra",Technology and its impact
artificial intelligence,/ɑːˌtɪfɪʃl ɪnˈtelɪdʒəns/,noun,Trí tuệ nhân tạo,the study and development of computer systems that can copy intelligent human behaviour,Artificial intelligence is revolutionizing the healthcare industry.,Trí tuệ nhân tạo đang cách mạng hóa ngành y tế.,Artificial intelligence is transforming the healthcare industry.,Trí tuệ nhân tạo đang thay đổi ngành công nghiệp chăm sóc sức khỏe.,B2,,,,,_____________ is revolutionizing the healthcare industry.,_____________ is transforming the healthcare industry.,squat,"ngồi xổm, squat",source,"nguồn tin, nguồn thông tin",problematic,"Có vấn đề, gây khó khăn",trek,"đi bộ đường dài, leo núi",impervious,"không thấm, không bị ảnh hưởng",Technology and its impact
Wi-Fi,/ˈwaɪ faɪ/,noun,mạng không dây Wi-Fi,a system for connecting electronic equipment to the internet without using wires,The hotel offers free Wi-Fi in all rooms.,Khách sạn cung cấp Wi-Fi miễn phí trong tất cả các phòng.,My laptop is connected to the Wi-Fi.,Máy tính xách tay của tôi đã kết nối với Wi-Fi.,A2,,,,,The hotel offers free _____________ in all rooms.,My laptop is connected to the _____________.,parking lot,bãi đỗ xe,soulmate,"tri kỷ, bạn tâm giao",social,Thuộc về xã hội,upset,"làm ai lo lắng, buồn, tức giận",congress,"Quốc hội (Mỹ), đại hội",Technology and its impact
mp3 player,ˌem piː ˈθriː ˌpleɪə(r),noun,máy nghe nhạc MP3,"a small electronic device for playing digital sound files, especially MP3s",I listen to podcasts on my MP3 player.,Tôi nghe podcast trên máy nghe nhạc MP3 của mình.,He downloaded songs to his MP3 player.,Anh ấy tải bài hát vào máy nghe nhạc MP3.,A2,,,,,I listen to podcasts on my _____________.,He downloaded songs to his _____________.,down,"Xuống, giảm",coin,đồng xu,late,"muộn, trễ",ceremony,"nghi lễ, nghi thức, buổi lễ",bullying,"Sự bắt nạt, bạo hành",Technology and its impact
notebook,/ˈnəʊtbʊk/,noun,"Sổ tay, vở",a small book of plain paper for writing notes in,He took notes in his notebook during the lecture.,Anh ấy ghi chú vào sổ tay trong buổi giảng bài.,I wrote down the phone number in my notebook.,Tôi đã ghi số điện thoại vào sổ ghi chép của mình.,A1,,,,,He took notes in his _____________ during the lecture.,I wrote down the phone number in my _____________.,get,"nhận được, lấy được",camping,việc cắm trại,look up,"ngẩng lên, tra cứu, cải thiện",figure,con số,overpriced,"đắt quá mức, định giá quá cao",Technology and its impact
router,/ˈraʊtə(r)/,noun,bộ định tuyến,A device that forwards data packets between computer networks.,The router directs internet traffic to all the devices in our home.,Bộ định tuyến hướng lưu lượng truy cập internet đến tất cả các thiết bị trong nhà của chúng tôi.,I think the Wi-Fi router needs to be reset because the internet is down.,Tôi nghĩ bộ định tuyến Wi-Fi cần được khởi động lại vì mạng internet bị ngắt.,B2,,,,,The _____________ directs internet traffic to all the devices in our home.,I think the Wi-Fi _____________ needs to be reset because the internet is down.,sober,tỉnh táo (không say),deviate,"Đi chệch hướng, sai lệch",sanitation,Hệ thống vệ sinh,promise,"lời hứa, điều hứa, điều hẹn ước",wrong,sai,Technology and its impact
technically,/ˈteknɪkli/,adverb,"về mặt kỹ thuật, theo đúng nghĩa",according to the exact meaning of something; in a way that is connected with the practical use of science,"Technically, a tomato is a fruit.","Về mặt kỹ thuật, cà chua là một loại trái cây.","Technically, the company is not bankrupt yet, but it is very close.","Về mặt kỹ thuật, công ty vẫn chưa phá sản, nhưng nó đã rất gần rồi.",B2,,,,,"_____________, a tomato is a fruit.","_____________, the company is not bankrupt yet, but it is very close.",hold up,Cướp có đe dọa bạo lực,nuclear family,gia đình hạt nhân,context,Bối cảnh,applicant,"người nộp đơn, ứng viên",excel,Xuất sắc,Technology and its impact
laptop,/ˈlæptɒp/,noun,Máy tính xách tay,A small computer that can work with a battery and be easily carried.,I take my laptop with me when I travel.,Tôi mang theo máy tính xách tay khi đi du lịch.,The presentation is saved on my laptop.,Bài thuyết trình được lưu trên máy tính xách tay của tôi.,A2,,,,,I take my _____________ with me when I travel.,The presentation is saved on my _____________.,ambition,tham vọng,take,"lấy, mang, đưa",find fault with,"Bới móc, chỉ trích, tìm lỗi",student loan,khoản vay sinh viên,reminisce,"hồi tưởng, nhớ lại (quá khứ)",Technology and its impact
computer,/kəmˈpjuːtə(r)/,noun,Máy tính,"An electronic machine that can store, organize, and find information, do processes with it, and control other machines.",I need to buy a new computer for my home office.,Tôi cần mua một máy tính mới cho văn phòng tại nhà.,The report was generated by the computer.,Báo cáo đã được tạo ra bởi máy tính.,A1,,,,,I need to buy a new _____________ for my home office.,The report was generated by the _____________.,receipt,biên lai,get into,trở nên hứng thú với một hoạt động hoặc chủ đề,cooker,"bếp, lò nấu",fee,"Lệ phí, phí dịch vụ",rule of thumb,quy tắc kinh nghiệm,Technology and its impact
bluetooth,/ˈbluːtuːθ/,noun,Bluetooth (công nghệ kết nối không dây),a short-range wireless technology for connecting devices,Connect your headphones to the computer via Bluetooth.,Kết nối tai nghe của bạn với máy tính qua Bluetooth.,The car allows you to make hands-free calls using Bluetooth.,Xe hơi cho phép bạn thực hiện cuộc gọi rảnh tay bằng Bluetooth.,B1,,,,,Connect your headphones to the computer via _____________.,The car allows you to make hands-free calls using _____________.,asthma,bệnh hen suyễn,archive,tài liệu lưu trữ,verdict,"phán quyết, bản án",medieval,"trung cổ, thuộc thời trung cổ",fierce,"mãnh liệt, dữ dội, quyết liệt",Technology and its impact
designer baby,dɪˌzaɪnə ˈbeɪbi,noun,em bé được thiết kế,baby with chosen genes,Designer babies are a controversial topic.,Em bé được thiết kế là một chủ đề gây tranh cãi.,The science of designer babies is advancing.,Khoa học về em bé thiết kế đang tiến bộ.,C1,,,,,_____________ are a controversial topic.,The science of _____________ is advancing.,light industry,công nghiệp nhẹ,pulse,nhịp đập,aches and pains,sự đau nhức,pressure group,nhóm gây sức ép,obituary,cáo phó,Technology of the future
destiny,ˈdestəni,noun,định mệnh,fate,She believes in destiny.,Cô ấy tin vào định mệnh.,It was his destiny to become a leader.,Trở thành nhà lãnh đạo là số phận của anh ấy.,B2,,,,,She believes in _____________.,It was his _____________ to become a leader.,nationalization,sự quốc hữu hóa,a level playing field,sân chơi bình đẳng,fight off,chống chọi,sound bite,đoạn trích ngắn,press release,thông cáo báo chí,Technology of the future
extraterrestrial being,ˌekstrətəˈrestriəl ˈbiːɪŋ,noun,sinh vật ngoài hành tinh,alien,Some people believe in extraterrestrial beings.,Một số người tin vào sinh vật ngoài hành tinh.,The movie was about an extraterrestrial being.,Bộ phim nói về một sinh vật ngoài trái đất.,C1,,,,,Some people believe in _____________.,The movie was about an _____________.,piecework,công việc trả lương theo sản phẩm,brisk,nhanh nhẹn,go down with,bị mắc bệnh,tap,khai thác,prospectus,cáo bạch,Technology of the future
foresee,fɔːˈsiː,verb,nhìn thấy trước,to predict,No one could foresee the disaster.,Không ai có thể dự đoán được thảm họa.,I foresee some problems in the future.,Tôi nhìn thấy trước một số vấn đề trong tương lai.,C1,,,,,No one could _____________ the disaster.,I _____________ some problems in the future.,relocate,di dời,in the running,có cơ hội,nauseous,buồn nôn,aromatherapist,nhà trị liệu bằng hương thơm,anti-virus program,chương trình diệt virus,Technology of the future
gene therapy,ˈdʒiːn ˌθerəpi,noun,liệu pháp gen,treatment using genes,Gene therapy could cure many diseases in the future.,Liệu pháp gen có thể chữa khỏi nhiều bệnh trong tương lai.,Gene therapy is a promising field of medicine.,Liệu pháp gen là một lĩnh vực y học đầy hứa hẹn.,C1,,,,,_____________ could cure many diseases in the future.,_____________ is a promising field of medicine.,retraining,sự đào tạo lại,neck and neck,ngang ngửa,out of sorts,khó chịu,family doctor,bác sĩ gia đình,filter out,lọc ra,Technology of the future
genetic engineering,dʒəˌnetɪk ˌendʒɪˈnɪərɪŋ,noun,công nghệ di truyền,the science of changing genes,Genetic engineering has made many breakthroughs.,Kỹ thuật di truyền đã tạo ra nhiều đột phá.,There is a lot of debate about genetic engineering.,Có nhiều cuộc tranh luận về công nghệ di truyền.,C1,,,,,_____________ has made many breakthroughs.,There is a lot of debate about _____________.,service industry,ngành dịch vụ,own goal,bàn phản lưới nhà,shivery,run rẩy,general practitioner,bác sĩ đa khoa,screen out,lọc ra,Technology of the future
global village,ˌɡləʊbl ˈvɪlɪdʒ,noun,ngôi làng toàn cầu,world as one community,The internet has turned the world into a global village.,Internet đã biến thế giới thành một ngôi làng toàn cầu.,We live in a global village now.,Chúng ta sống trong một ngôi làng toàn cầu ngày nay.,B2,,,,,The internet has turned the world into a _____________.,We live in a _____________ now.,sweatshop,xưởng bóc lột sức lao động,body mass index,chỉ số khối cơ thể,sleepless,mất ngủ,national insurance,bảo hiểm quốc gia,e-book,sách điện tử,Technology of the future
globalization,ˌɡləʊbəlaɪˈzeɪʃn,noun,toàn cầu hóa,the process of becoming connected worldwide,The process of globalization has connected economies around the world.,Quá trình toàn cầu hóa đã kết nối các nền kinh tế trên toàn thế giới.,Critics of globalization argue that it causes job losses.,Những người chỉ trích toàn cầu hóa cho rằng nó gây ra mất việc làm.,B2,,,,,The process of _____________ has connected economies around the world.,Critics of _____________ argue that it causes job losses.,biotechnology,công nghệ sinh học,clog,làm tắc nghẽn,sting,châm chích,acupuncturist,bác sĩ châm cứu,e-commerce,thương mại điện tử,Technology of the future
nanotechnology,ˌnænəʊtekˈnɒlədʒi,noun,công nghệ nano,science of small things,Nanotechnology is used in many fields.,Công nghệ nano được sử dụng trong nhiều lĩnh vực.,The future of nanotechnology is very promising.,Tương lai của công nghệ nano rất hứa hẹn.,C1,,,,,_____________ is used in many fields.,The future of _____________ is very promising.,desktop computer,máy tính để bàn,diabetic,người mắc bệnh tiểu đường,throb,đau nhức nhối,anesthesia,sự gây mê,gaming,việc chơi game,Technology of the future
envisage,/ɪnˈvɪz.ɪdʒ/,verb,"Hình dung, dự kiến",To imagine or expect something in the future,Scientists envisage a future where AI assists in medical diagnoses.,Các nhà khoa học hình dung tương lai AI hỗ trợ chẩn đoán y tế.,"Can you envisage what our cities and daily lives might look like fifty years from now, with the rapid pace of technological change?","Bạn có thể hình dung, dự kiến các thành phố và cuộc sống hàng ngày của chúng ta sẽ trông như thế nào trong năm mươi năm tới, với tốc độ thay đổi công nghệ nhanh chóng không?",B2,,,,,Scientists _____________ a future where AI assists in medical diagnoses.,"Can you _____________ what our cities and daily lives might look like fifty years from now, with the rapid pace of technological change?",prolong,Kéo dài,awe-inspiring,đầy cảm hứng,domesticated,được thuần hóa,dissertation,"luận văn, luận án",festive,Lễ hội,Technology of the future
nuclear family,/ˌnjuːkliə ˈfæməli/,noun phrase,gia đình hạt nhân,"a family that consists of father, mother and children",Many people nowadays do not live in the conventional nuclear family .,Nhiều người ngày nay không sống trong mô hình gia đình hạt nhân truyền thống.,Sociologists argue that the nuclear family structure is becoming less dominant in Western societies.,Các nhà xã hội học lập luận rằng cấu trúc gia đình hạt nhân đang trở nên ít chiếm ưu thế hơn trong các xã hội phương Tây.,B1,,,,,Many people nowadays do not live in the conventional _____________.,Sociologists argue that the _____________ structure is becoming less dominant in Western societies.,make ends meet,kiếm đủ sống,disparate,"khác biệt, không đồng nhất",nutritious,"bổ dưỡng, giàu dinh dưỡng",respectful,tôn trọng,stride,bước tiến,Technology of the future
genetically modified,/dʒəˈnet.ɪ.kli ˈmɒd.ɪ.faɪd/,Adjective,biến đổi gen,"(of a plant or animal) having its genetic structure changed artificially, especially in order to make it more productive or resistant to disease",Many people are opposed to eating genetically modified food.,Nhiều người phản đối việc ăn thực phẩm biến đổi gen.,The debate over the safety and ethics of genetically modified crops is a common topic in IELTS Writing and Speaking.,Cuộc tranh luận về tính an toàn và đạo đức của cây trồng biến đổi gen là một chủ đề phổ biến trong IELTS Writing và Speaking.,B2,,,,,Many people are opposed to eating _____________ food.,The debate over the safety and ethics of _____________ crops is a common topic in IELTS Writing and Speaking.,adverse,"bất lợi, tiêu cực",exclusive,"độc quyền, cao cấp (dành riêng)",civil war,nội chiến,literacy,"sự biết chữ, trình độ học vấn",migrate,di cư,Technology of the future
genome,/ˈdʒiːnəʊm/,noun,bộ gen,the complete set of genes in a cell or living thing,The human genome project successfully mapped all the genes in human DNA.,Dự án bộ gen người đã lập bản đồ thành công tất cả các gen trong DNA của con người.,The company uses genome sequencing to develop personalized medicine.,Công ty sử dụng giải trình tự bộ gen để phát triển y học cá nhân hóa.,C1,,,,,The human _____________ project successfully mapped all the genes in human DNA.,The company uses _____________ sequencing to develop personalized medicine.,stroke,"đột quỵ, tai biến mạch máu não",heroic,"anh hùng, dũng cảm",clash,"xung đột, mâu thuẫn",illiterate,"mù chữ, thất học",disposal,"sự xử lý, sự vứt bỏ",Technology of the future
clone,/kləʊn/,noun,bản sao,"a plant or animal produced naturally or artificially from the cells of another plant or animal, so that it is exactly the same",The sheep Dolly was the first mammal to be produced as a clone.,Cừu Dolly là động vật có vú đầu tiên được tạo ra dưới dạng bản sao.,Scientists clone the gene to study its function in the laboratory.,Các nhà khoa học nhân bản gen để nghiên cứu chức năng của nó trong phòng thí nghiệm.,C1,,,,,The sheep Dolly was the first mammal to be produced as a _____________.,Scientists _____________ the gene to study its function in the laboratory.,side effect,tác dụng phụ,triumph,"chiến thắng, thành công",rival,"đối thủ, kẻ cạnh tranh",constitution,hiến pháp,precious,"quý giá, quý báu",Technology of the future
gulf,/ɡʌlf/,noun,vịnh lớn,a large area of sea partly surrounded by land [citation:19],The hurricane is forming in the Gulf of Mexico.,Cơn bão đang hình thành ở Vịnh Mexico.,The company has oil drilling operations in the Persian Gulf.,Công ty có các hoạt động khai thác dầu ở Vịnh Ba Tư.,B2,,,,,The hurricane is forming in the _____________ of Mexico.,The company has oil drilling operations in the Persian _____________.,particle,tiểu từ,citizen journalism,"báo chí công dân (người dân thường tham gia thu thập, đưa tin)",escalate,"leo thang, gia tăng",lobby,vận động hành lang,commodity,"hàng hóa (cơ bản, thô)",Energy: from fossil fuels to windmills
finite,ˈfaɪnaɪt,adjective,"có hạn, hữu hạn",limited,The world's resources are finite.,Các nguồn tài nguyên của thế giới là có hạn.,We must be careful with our finite resources.,Chúng ta phải cẩn thận với các nguồn tài nguyên hữu hạn của mình.,C1,,,,,The world's resources are _____________.,We must be careful with our _____________ resources.,e-reader,máy đọc sách điện tử,glucose,đường glu-cô-zơ,ailing,"ốm yếu, suy nhược",anesthetist,bác sĩ gây mê,Internet service provider,nhà cung cấp dịch vụ internet,Energy: from fossil fuels to windmills
deposit,/dɪˈpɒz.ɪt/,noun,"trầm tích, mỏ (khoáng sản)","a layer of a substance that has been left somewhere, especially by a river, flood, etc., or that is found naturally [citation:15]",You need to deposit coins to use this pay phone.,Bạn cần bỏ tiền xu để sử dụng điện thoại công cộng này.,The country has large oil and gas deposits.,Đất nước này có các mỏ dầu khí lớn.,B2,,,,,You need to _____________ coins to use this pay phone.,The country has large oil and gas _____________.,sail through,vượt qua (kỳ thi) một cách dễ dàng,monitor,"lớp trưởng, cán bộ lớp",brutal,"thẳng thừng, tàn nhẫn (về lời nói/đánh giá)",legislation,"pháp luật, đạo luật, sự lập pháp",shrink,"co lại, thu hẹp",Energy: from fossil fuels to windmills
appliance,əˈplaɪəns,noun,thiết bị,device,I bought a new kitchen appliance.,Tôi đã mua một thiết bị nhà bếp mới.,The store sells electrical appliances.,Cửa hàng bán các thiết bị gia dụng điện.,B2,,,,,I bought a new kitchen _____________.,The store sells electrical _____________.,ergonomics,công thái học,impeded,bị cản trở,disorientation,sự mất phương hướng,cardiologist,bác sĩ tim mạch,junk mail,thư rác,Energy: from fossil fuels to windmills
biomass,ˈbaɪəʊmæs,noun,sinh khối,organic matter,Biomass is a renewable energy source.,Sinh khối là một nguồn năng lượng tái tạo.,The factory uses biomass to generate electricity.,Nhà máy sử dụng sinh khối để tạo ra điện.,C1,,,,,_____________ is a renewable energy source.,The factory uses _____________ to generate electricity.,smartphone,điện thoại thông minh,insulin,in-su-lin,excrement,phân,chiropractor,bác sĩ chỉnh hình xương khớp,newsgroup,nhóm tin tức,Energy: from fossil fuels to windmills
coal-fired,ˌkəʊl ˈfaɪəd,adjective,chạy bằng than đá,using coal,The country relies on coal-fired power stations.,Đất nước dựa vào các nhà máy điện chạy bằng than đá.,Coal-fired plants cause pollution.,Các nhà máy nhiệt điện than gây ô nhiễm.,B2,,,,,The country relies on _____________ power stations.,_____________ plants cause pollution.,tablet,máy tính bảng,intent,quyết tâm,fever pitch,sự phấn khích tột độ,complementary medicine,y học bổ sung,parental controls,quyền kiểm soát của phụ huynh,Energy: from fossil fuels to windmills
energy-efficient,ˌenədʒi ɪˈfɪʃnt,adjective,tiết kiệm năng lượng,using less energy,The new building is energy-efficient.,Tòa nhà mới tiết kiệm năng lượng.,We need more energy-efficient appliances.,Chúng tôi cần nhiều thiết bị tiết kiệm năng lượng hơn.,B2,,,,,The new building is _____________.,We need more _____________ appliances.,designer baby,em bé được thiết kế,oatmeal,bột yến mạch,jaundiced,bị vàng da,dermatologist,bác sĩ da liễu,webinar,hội thảo trực tuyến,Energy: from fossil fuels to windmills
food mile,ˈfuːd maɪl,noun,dặm thực phẩm,transport distance of food,The concept of food miles raises environmental concerns.,Khái niệm dặm thực phẩm làm dấy lên những lo ngại về môi trường.,We need to reduce our food miles by buying local food.,Chúng ta cần giảm khoảng cách vận chuyển thực phẩm bằng cách mua thực phẩm địa phương.,C1,,,,,The concept of _____________ raises environmental concerns.,We need to reduce our _____________ by buying local food.,destiny,định mệnh,plaque,mảng bám,nausea,sự buồn nôn,gynecologist,bác sĩ phụ khoa,logo,biểu trưng,Energy: from fossil fuels to windmills
gas guzzler,ˈɡæs ˌɡʌzlə(r),noun,xe cộ tiêu tốn nhiều nhiên liệu,fuel-inefficient car,"I want a small car, not a gas guzzler.","Tôi muốn một chiếc xe nhỏ, không phải một chiếc xe tốn nhiên liệu.",SUVs are often gas guzzlers.,Xe SUV thường là loại xe hao xăng.,C1,,,,,"I want a small car, not a _____________.",SUVs are often _____________.,extraterrestrial being,sinh vật ngoài hành tinh,porridge,cháo,prognosis,tiên lượng,homeopathic,vi lượng đồng căn,pop-up,cửa sổ bật lên,Energy: from fossil fuels to windmills
geothermal energy,ˌdʒiːəʊˈθɜːml ˌenədʒi,noun,năng lượng địa nhiệt,heat energy,Geothermal energy comes from the earth's heat.,Năng lượng địa nhiệt đến từ nhiệt của trái đất.,Geothermal energy is sustainable.,Năng lượng địa nhiệt là bền vững.,C1,,,,,_____________ comes from the earth's heat.,_____________ is sustainable.,foresee,nhìn thấy trước,heavy industry,công nghiệp nặng,scarred,bị sẹo,locum,bác sĩ/người làm thay ca,sandwich board,biển quảng cáo đeo trước/sau ngực,Energy: from fossil fuels to windmills
oil well,ˈɔɪl wel,noun,giếng dầu,oil extraction hole,The company discovered a new oil well.,Công ty đã phát hiện ra một giếng dầu mới.,The oil well is producing thousands of barrels a day.,Giếng dầu đang sản xuất hàng nghìn thùng mỗi ngày.,B2,,,,,The company discovered a new _____________.,The _____________ is producing thousands of barrels a day.,gene therapy,liệu pháp gen,high technology,công nghệ cao,stool,phân,obstetrician,bác sĩ sản khoa,skywriting,quảng cáo trên bầu trời,Energy: from fossil fuels to windmills
onshore,ˌɒnˈʃɔː(r),adjective,trên đất liền,on land,They are drilling for oil onshore.,Họ đang khoan dầu trên đất liền.,The onshore wind farm is located near the coast.,Trang trại gió trên đất liền nằm gần bờ biển.,B2,,,,,They are drilling for oil _____________.,The _____________ wind farm is located near the coast.,genetic engineering,công nghệ di truyền,light industry,công nghiệp nhẹ,symptomatic,có mang triệu chứng,primary care,chăm sóc sức khỏe ban đầu,ergonomically,theo công thái học,Energy: from fossil fuels to windmills
pipeline,ˈpaɪplaɪn,noun,đường ống,pipe system,The oil is transported through a pipeline.,Dầu được vận chuyển qua một đường ống.,The pipeline is very long.,Đường ống rất dài.,B2,,,,,The oil is transported through a _____________.,The _____________ is very long.,global village,ngôi làng toàn cầu,nationalization,sự quốc hữu hóa,vomiting,sự nôn mửa,on ones feet,đứng vững,galore,dồi dào,Energy: from fossil fuels to windmills
renewable resource,rɪˌnjuːəbl rɪˈzɔːs,noun,tài nguyên tái tạo,sustainable resource,Solar power is a renewable resource.,Năng lượng mặt trời là một tài nguyên tái tạo.,We should invest in renewable resources.,Chúng ta nên đầu tư vào các nguồn tài nguyên tái tạo.,B2,,,,,Solar power is a _____________.,We should invest in _____________.,globalization,toàn cầu hóa,piecework,công việc trả lương theo sản phẩm,have finger on the pulse of,nắm bắt được tình hình,tremble,"run rẩy, lập cập",in the lap of luxury,trong nhung lụa,Energy: from fossil fuels to windmills
solar panel,ˈsəʊlə ˌpænl,noun,tấm pin năng lượng mặt trời,solar cell,The house is fitted with solar panels.,Ngôi nhà được trang bị tấm pin năng lượng mặt trời.,The solar panels generate electricity.,Các tấm pin mặt trời tạo ra điện.,B2,,,,,The house is fitted with _____________.,The _____________ generate electricity.,nanotechnology,công nghệ nano,relocate,di dời,allergic reaction,phản ứng dị ứng,aches and pains,sự đau nhức,leave standing,vượt xa,Energy: from fossil fuels to windmills
