Từ vựng,IPA,Từ loại,Nghĩa Tiếng Việt,Nghĩa Tiếng Anh,Ví dụ,Nghĩa ví dụ,Ví dụ,Nghĩa ví dụ,Trình độ,Audio từ vựng,Ảnh từ vựng,Ảnh ví dụ,Ảnh ví dụ,Đục lỗ ví dụ,Đục lỗ ví dụ,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,topic
cartoon,/kɑːˈtuːn/,noun,tranh biếm họa,"an amusing drawing in a newspaper or magazine, especially one about current events or politicians",Children love to watch cartoons on television.,Trẻ em thích xem phim hoạt hình trên tivi.,His cartoon cleverly illustrates the economic situation.,Bức tranh biếm họa của ông ấy minh họa thông minh tình hình kinh tế.,B1,,,,,Children love to watch _____________ on television.,His _____________ cleverly illustrates the economic situation.,focus on,tập trung vào,quality newspaper,báo chính thống/tin cậy,upload,Tải lên,create,"tạo ra, sáng tạo",hardware,phần cứng,The press and the media
program,/ˈprəʊɡræm/,Verb,chương trình hóa (máy điện toán),to give a machine instructions to do a particular task,He is writing a program to analyse the data.,Anh ấy đang viết một chương trình để phân tích dữ liệu.,He is learning how to write code and develop his own simple computer programs in his free time after school.,Anh ấy đang học cách viết mã và phát triển các chương trình máy tính đơn giản của riêng mình trong thời gian rảnh sau giờ học.,B1,,,,,He is writing a _____________ to analyse the data.,He is learning how to write code and develop his own simple computer _____________ in his free time after school.,popularly,"Một cách phổ biến, theo số đông.",journalism,"nghề báo, báo chí",comment,"Bình luận, nhận xét",default,mặc định,network,mạng lưới,The press and the media
soap opera,/ˈsəʊp ˌɒpərə/,noun,Phim truyền hình dài tập (xà phòng),A story about the lives and problems of a group of people which is broadcast every day or several times a week on television or radio.,My grandmother watches the same soap opera every afternoon.,Bà tôi xem cùng một bộ phim truyền hình dài tập vào mỗi buổi chiều.,The soap opera has been running for over thirty years.,Bộ phim truyền hình dài tập đã chiếu hơn ba mươi năm.,B1,,,,,My grandmother watches the same _____________ every afternoon.,The _____________ has been running for over thirty years.,pay,"trả tiền, thanh toán",tweet,bài đăng Tweet,profile,"hồ sơ, tiểu sử, thông tin cá nhân",social media,mạng xã hội,laptop,Máy tính xách tay,The press and the media
investigate,/ɪnˈvestɪɡeɪt/,verb,Điều tra,To try to find out the facts about something in order to learn the truth about it.,The police are investigating the cause of the accident.,Cảnh sát đang điều tra nguyên nhân vụ tai nạn.,The police were called to investigate the cause of the fire.,Cảnh sát đã được gọi đến để điều tra nguyên nhân vụ hỏa hoạn.,B2,,,,,The police are _____________ the cause of the accident.,The police were called to _____________ the cause of the fire.,stream,phát trực tuyến,podcast,Podcast (tệp âm thanh số),status,Địa vị,friend request,lời mời kết bạn,memory,"Trí nhớ, ký ức",The press and the media
detective,/dɪˈtektɪv/,noun,"Thám tử, điều tra viên","a person, especially a police officer, whose job is to investigate crimes and catch criminals",The detective questioned several witnesses.,Vị thám tử đã thẩm vấn một số nhân chứng.,She loves reading detective novels.,Cô ấy thích đọc tiểu thuyết trinh thám.,B1,,,,,The _____________ questioned several witnesses.,She loves reading _____________ novels.,broadcast,"phát sóng, truyền hình/phát thanh",shoot,"bắn, bắn súng",post,Đăng tải (lên mạng),rate,"Tỷ lệ, mức",personal computer,máy tính cá nhân,The press and the media
drama,/ˈdrɑːmə/,noun,"kịch, chính kịch, tuồng","a play for the theater, television, radio, etc.; plays considered as a form of literature",She studied drama at university and now works as an actress.,Cô ấy học ngành kịch nghệ ở trường đại học và hiện là một diễn viên.,The plot of the novel was full of drama and unexpected twists.,Cốt truyện của cuốn tiểu thuyết đầy kịch tính và những tình tiết bất ngờ.,A2,,,,,She studied _____________ at university and now works as an actress.,The plot of the novel was full of _____________ and unexpected twists.,tabloid,"báo lá cải (thường tập trung vào giật gân, tin tức về người nổi tiếng)",commercial,thương mại,notification,Thông báo,update,Cập nhật,hard disk drive,ổ đĩa cứng (HDD),The press and the media
news,/njuːz/,noun,Tin tức,New information about something that has happened recently.,I heard the good news about your promotion.,Tôi đã nghe tin vui về việc thăng chức của bạn.,The news report will be broadcast at 6 PM.,Bản tin tức sẽ được phát sóng lúc 6 giờ tối.,A1,,,,,I heard the good _____________ about your promotion.,The _____________ report will be broadcast at 6 PM.,televise,phát sóng (trên truyền hình),set,"đặt, thiết lập, ấn định",view,"Tầm nhìn, quan điểm, cảnh",follow,theo dõi,random-access memory,bộ nhớ truy cập ngẫu nhiên (RAM),The press and the media
sport,/spɔːt/,noun,thể thao,"an activity involving physical exertion and skill, competed in for entertainment",Team sports are encouraged to build cooperation.,Các môn thể thao đồng đội được khuyến khích để xây dựng sự hợp tác.,The company is a major sponsor of national sports.,Công ty là nhà tài trợ chính cho thể thao quốc gia.,A1,,,,,Team _____________ are encouraged to build cooperation.,The company is a major sponsor of national _____________.,sitcom,phim hài tình huống,make,"làm, chế tạo",share,chia sẻ,subscribe,"Đặt mua (báo dài hạn), đăng ký (dịch vụ)",gigabyte,gigabyte (GB),The press and the media
subtitle,/ˈsʌbtaɪtl/,Noun,Phụ đề,Words that translate what is said in a film into a different language and appear on the screen,The film has English subtitles for foreign viewers.,Bộ phim có phụ đề tiếng Anh cho khán giả nước ngoài.,I prefer watching foreign films with subtitles rather than with dubbed voices.,Tôi thích xem phim nước ngoài với phụ đề hơn là với giọng lồng tiếng.,B1,,,,,The film has English _____________ for foreign viewers.,I prefer watching foreign films with _____________ rather than with dubbed voices.,presenter,người dẫn chương trình,focus on,tập trung vào,subscription,sự đăng ký mua báo/dịch vụ,like,Giống như,social networking,Mạng xã hội,The press and the media
game show,/ˈɡeɪm ʃəʊ/,noun,chương trình trò chơi truyền hình,a television programme in which people play games or answer questions to win prizes,The new game show is very popular with families.,Chương trình trò chơi truyền hình mới rất được các gia đình yêu thích.,The game show involved contestants performing silly physical challenges to win points and a chance at the grand prize.,Chương trình trò chơi truyền hình yêu cầu các thí sinh thực hiện những thử thách thể chất ngớ ngẩn để giành điểm và cơ hội nhận giải thưởng lớn.,A2,,,,,The new _____________ is very popular with families.,The _____________ involved contestants performing silly physical challenges to win points and a chance at the grand prize.,mass media,phương tiện truyền thông đại chúng,popularly,"Một cách phổ biến, theo số đông.",sensation,sự giật gân/tin gây sốt,link,"liên kết, nối kết",Internet service provider,Nhà cung cấp dịch vụ Internet (ISP),The press and the media
weather forecast,/ˈweðə(r) ˈfɔːkɑːst/,noun phrase,dự báo thời tiết,a statement about what the weather will be like in the future,"According to the weather forecast, a severe cold front is expected to move in over the weekend, bringing snow.","Theo dự báo thời tiết, một đợt không khí lạnh nghiêm trọng dự kiến sẽ tràn vào vào cuối tuần, mang theo tuyết.",Farmers rely heavily on accurate weather forecasts to make critical decisions about planting and harvesting their crops.,Nông dân phụ thuộc rất nhiều vào các dự báo thời tiết chính xác để đưa ra các quyết định quan trọng về việc gieo trồng và thu hoạch mùa màng.,A2,,,,,"According to the _____________, a severe cold front is expected to move in over the weekend, bringing snow.",Farmers rely heavily on accurate _____________ to make critical decisions about planting and harvesting their crops.,documentary,phim tài liệu,pay,"trả tiền, thanh toán",scandal,vụ bê bối,send,"Gửi (thư, hàng, tín hiệu)",gaming,Việc chơi game điện tử,The press and the media
dub,/dʌb/,Verb,lồng tiếng,to replace the original speech in a film or television programme with words in another language,The film was dubbed into Vietnamese for its local release.,Bộ phim đã được lồng tiếng Việt để phát hành tại địa phương.,Many people prefer watching foreign films with subtitles rather than dubbed versions.,Nhiều người thích xem phim nước ngoài với phụ đề hơn là các phiên bản lồng tiếng.,B2,,,,,The film was _____________ into Vietnamese for its local release.,Many people prefer watching foreign films with subtitles rather than _____________ versions.,current affairs,vấn đề thời sự/vấn đề hiện nay,stream,phát trực tuyến,satellite dish,ăng-ten chảo vệ tinh,upload,Tải lên,attachment,tệp đính kèm,The press and the media
receive,/rɪˈsiːv/,verb,"nhận (tín hiệu, thông tin, bản tin)","to get or accept something that is sent or given to you. (Ngữ cảnh: nhận tín hiệu, nhận thông tin)",Did you receive my invoice?,Bạn đã nhận được hóa đơn của tôi chưa?,We received positive feedback from the client.,Chúng tôi đã nhận được phản hồi tích cực từ khách hàng.,B1,,,,,Did you _____________ my invoice?,We _____________ positive feedback from the client.,means,"phương tiện, cách thức, giải pháp",broadcast,"phát sóng, truyền hình/phát thanh",quality newspaper,báo chính thống/tin cậy,comment,"Bình luận, nhận xét",Skype,"phần mềm gọi điện, video trực tuyến",The press and the media
polling station,ˈpəʊlɪŋ ˌsteɪʃn,noun,điểm bỏ phiếu,a place where people vote,I went to the polling station to cast my vote.,Tôi đã đến điểm bỏ phiếu để bỏ phiếu.,The polling station was very busy in the morning.,Điểm bỏ phiếu rất đông vào buổi sáng.,B2,,,,,I went to the _____________ to cast my vote.,The _____________ was very busy in the morning.,talk show,"chương trình trò chuyện, talkshow",tabloid,"báo lá cải (thường tập trung vào giật gân, tin tức về người nổi tiếng)",journalism,"nghề báo, báo chí",profile,"hồ sơ, tiểu sử, thông tin cá nhân",webcam,Webcam,Politics and public institutions
polling day,ˈpəʊlɪŋ deɪ,noun,ngày bầu cử/ngày bỏ phiếu,the day of an election,Polling day is the day when people vote.,Ngày bầu cử là ngày mọi người bỏ phiếu.,The excitement increased as polling day approached.,Sự phấn khích tăng lên khi ngày bầu cử đến gần.,B2,,,,,_____________ is the day when people vote.,The excitement increased as _____________ approached.,cartoon,tranh biếm họa,televise,phát sóng (trên truyền hình),tweet,bài đăng Tweet,status,Địa vị,virtual reality,Thực tế ảo,Politics and public institutions
parliamentary,ˌpɑːləˈmentri,adjective,thuộc về nghị viện,relating to a parliament,The country has a parliamentary system of government.,Đất nước có một hệ thống chính phủ nghị viện.,The new law has to go through the parliamentary process.,Luật mới phải trải qua quy trình nghị viện.,B2,,,,,The country has a _____________ system of government.,The new law has to go through the _____________ process.,program,chương trình hóa (máy điện toán),sitcom,phim hài tình huống,podcast,Podcast (tệp âm thanh số),post,Đăng tải (lên mạng),attach,"Đính kèm, gắn, gán",Politics and public institutions
general election,ˌdʒenrəl ɪˈlekʃn,noun,tổng tuyển cử,a national vote to choose a government,The general election will take place next year.,Tổng tuyển cử sẽ diễn ra vào năm tới.,The party won the general election with a large majority.,Đảng đã giành chiến thắng trong cuộc tổng tuyển cử với đa số phiếu lớn.,B2,,,,,The _____________ will take place next year.,The party won the _____________ with a large majority.,soap opera,Phim truyền hình dài tập (xà phòng),presenter,người dẫn chương trình,shoot,"bắn, bắn súng",notification,Thông báo,contact,Liên hệ,Politics and public institutions
constituency,kənˈstɪtʃuənsi,noun,cử tri đoàn/khu vực bầu cử,an area represented by an MP,She represents a rural constituency.,Cô ấy đại diện cho một khu vực bầu cử nông thôn.,The politician addressed the needs of his constituency.,Chính trị gia đã giải quyết nhu cầu của cử tri đoàn của mình.,C1,,,,,She represents a rural _____________.,The politician addressed the needs of his _____________.,investigate,Điều tra,mass media,phương tiện truyền thông đại chúng,commercial,thương mại,view,"Tầm nhìn, quan điểm, cảnh",server,máy chủ,Politics and public institutions
chamber,ˈtʃeɪmbə(r),noun,viện (trong quốc hội),a room where a parliament meets,The chamber was filled with applause.,Viện tràn ngập tiếng vỗ tay.,The Senate chamber is in the capital building.,Phòng họp của Thượng viện nằm trong tòa nhà thủ đô.,B2,,,,,The _____________ was filled with applause.,The Senate _____________ is in the capital building.,detective,"Thám tử, điều tra viên",documentary,phim tài liệu,set,"đặt, thiết lập, ấn định",share,chia sẻ,blog,blog,Politics and public institutions
representative,/ˌrep.rɪˈzen.tə.tɪv/,Adjective,"tiêu biểu, đại diện, mang tính đại diện",typical of a particular group; containing examples of all types,tiêu biểu,She became the student representative.,We need a representative sample of all employees.,Chúng tôi cần một mẫu mang tính đại diện của tất cả nhân viên.,B2,,,,,tiêu biểu,We need a _____________ sample of all employees.,drama,"kịch, chính kịch, tuồng",current affairs,vấn đề thời sự/vấn đề hiện nay,make,"làm, chế tạo",subscription,sự đăng ký mua báo/dịch vụ,subscribe,"Đặt mua (báo dài hạn), đăng ký (dịch vụ)",Politics and public institutions
majority,/məˈdʒɒrəti/,noun,"Đa số, phần lớn",The largest part of a group of people or things.,The majority of our staff work in the main office.,Đa số nhân viên của chúng tôi làm việc tại văn phòng chính.,"In the majority of cases, the problem is easily fixed.","Trong đa số trường hợp, vấn đề được giải quyết dễ dàng.",B1,,,,,The _____________ of our staff work in the main office.,"In the _____________ of cases, the problem is easily fixed.",news,Tin tức,means,"phương tiện, cách thức, giải pháp",focus on,tập trung vào,sensation,sự giật gân/tin gây sốt,down,"Xuống, giảm",Politics and public institutions
select,/sɪˈlekt/,verb,"Chọn, lựa chọn","to choose something from a group of things or people, usually according to a system",You can select the delivery date during checkout.,Bạn có thể chọn ngày giao hàng trong quá trình thanh toán.,The committee will select three candidates for a final interview.,Ủy ban sẽ chọn ba ứng viên cho một cuộc phỏng vấn cuối cùng.,A2,,,,,You can _____________ the delivery date during checkout.,The committee will _____________ three candidates for a final interview.,sport,thể thao,talk show,"chương trình trò chuyện, talkshow",popularly,"Một cách phổ biến, theo số đông.",scandal,vụ bê bối,hit,"bản hit, thành công lớn",Politics and public institutions
minister,/ˈmɪnɪstə(r)/,noun,Bộ trưởng,A senior member of the government who is in charge of a government department or a branch of one,The foreign minister will visit China next month.,Bộ trưởng Ngoại giao sẽ thăm Trung Quốc vào tháng tới.,She was appointed as the minister of education.,Bà ấy được bổ nhiệm làm bộ trưởng giáo dục.,B1,,,,,The foreign _____________ will visit China next month.,She was appointed as the _____________ of education.,subtitle,Phụ đề,cartoon,tranh biếm họa,pay,"trả tiền, thanh toán",satellite dish,ăng-ten chảo vệ tinh,username,Tên người dùng,Politics and public institutions
prime minister,/ˌpraɪm ˈmɪnɪstə(r)/,noun phrase,Thủ tướng,The head of an elected government; the principal minister of a sovereign or state,The prime minister will give a press conference today.,Thủ tướng sẽ tổ chức một cuộc họp báo hôm nay.,She met with the Japanese prime minister.,Bà ấy đã gặp thủ tướng Nhật Bản.,B1,,,,,The _____________ will give a press conference today.,She met with the Japanese _____________.,game show,chương trình trò chơi truyền hình,program,chương trình hóa (máy điện toán),stream,phát trực tuyến,quality newspaper,báo chính thống/tin cậy,password,Mật khẩu,Politics and public institutions
head,/hed/,verb,"đi về hướng, lãnh đạo",to move in a particular direction; to be in charge of something,She nodded her head in agreement.,Cô ấy gật đầu đồng ý.,She heads the marketing department.,Cô ấy lãnh đạo bộ phận tiếp thị.,B1,,,,,She nodded _____________ in agreement.,She _____________ the marketing department.,weather forecast,dự báo thời tiết,soap opera,Phim truyền hình dài tập (xà phòng),broadcast,"phát sóng, truyền hình/phát thanh",journalism,"nghề báo, báo chí",online,Trực tuyến,Politics and public institutions
senate,/ˈsenət/,noun,Thượng viện,"The smaller and more important of the two parts of the government with the power to make laws, in countries such as the US, Australia, and France.",The bill was passed by the Senate.,Dự luật đã được Thượng viện thông qua.,She was elected to the Senate in 2020.,Bà ấy được bầu vào Thượng viện năm 2020.,B2,,,,,The bill was passed by the _____________.,She was elected to the _____________ in 2020.,dub,lồng tiếng,investigate,Điều tra,tabloid,"báo lá cải (thường tập trung vào giật gân, tin tức về người nổi tiếng)",tweet,bài đăng Tweet,interactive,tương tác,Politics and public institutions
parliament,/ˈpɑːləmənt/,noun,"Quốc hội, nghị viện",The group of people who are elected to make and change the laws of a country.,The new law was passed by parliament with a large majority.,Đạo luật mới đã được quốc hội thông qua với đa số phiếu lớn.,The law was passed by Parliament.,Đạo luật đã được Quốc hội thông qua.,B1,,,,,The new law was passed by _____________ with a large majority.,The law was passed by _____________.,receive,"nhận (tín hiệu, thông tin, bản tin)",detective,"Thám tử, điều tra viên",televise,phát sóng (trên truyền hình),podcast,Podcast (tệp âm thanh số),World Wide Web,Mạng lưới toàn cầu (WWW),Politics and public institutions
candidate,/ˈkændɪdət/,noun,"Ứng viên, người ứng cử",A person who applies for a job or is nominated for election.,There were three strong candidates for the position.,Có ba ứng viên tiềm năng cho vị trí này.,She was the strongest candidate for the position.,Cô ấy là ứng viên mạnh nhất cho vị trí đó.,B1,,,,,There were three strong _____________ for the position.,She was the strongest _____________ for the position.,polling station,điểm bỏ phiếu,drama,"kịch, chính kịch, tuồng",sitcom,phim hài tình huống,shoot,"bắn, bắn súng",the Internet,Mạng Internet,Politics and public institutions
seat,/siːt/,"noun, verb","chỗ ngồi, ghế","a place where you can sit, for example a chair; to give somebody a place to sit",Please take a seat. The class will begin soon.,Xin mời ngồi. Lớp học sẽ bắt đầu sớm.,The seat belt sign is on.,Biển báo thắt dây an toàn đã bật.,A2,,,,,Please take a _____________. The class will begin soon.,The _____________ belt sign is on.,polling day,ngày bầu cử/ngày bỏ phiếu,news,Tin tức,presenter,người dẫn chương trình,commercial,thương mại,search engine,Công cụ tìm kiếm,Politics and public institutions
politician,/ˌpɒləˈtɪʃn/,noun,chính trị gia,"a person whose job is concerned with politics, especially as an elected member of a government",The politician gave a long speech about his plans.,Vị chính trị gia đã có một bài phát biểu dài về kế hoạch của mình.,"The politician gave a rousing speech to a large crowd of his supporters, promising to fight for lower taxes, better jobs, and a brighter future for all.","Vị chính trị gia đã có một bài phát biểu đầy phấn khích trước một đám đông lớn những người ủng hộ ông, hứa sẽ đấu tranh cho thuế thấp hơn, việc làm tốt hơn và một tương lai tươi sáng hơn cho tất cả mọi người.",B1,,,,,The _____________ gave a long speech about his plans.,"The _____________ gave a rousing speech to a large crowd of his supporters, promising to fight for lower taxes, better jobs, and a brighter future for all.",parliamentary,thuộc về nghị viện,sport,thể thao,mass media,phương tiện truyền thông đại chúng,set,"đặt, thiết lập, ấn định",frequently asked question,Câu hỏi thường gặp (FAQ),Politics and public institutions
coalition,/ˌkəʊəˈlɪʃn/,noun,liên minh (chính phủ),A government formed by two or more political parties working together.,The two parties formed a coalition government.,Hai đảng đã thành lập một chính phủ liên minh.,The coalition was unstable and fell apart after only six months.,Liên minh đã không ổn định và tan rã chỉ sau sáu tháng.,C1,,,,,The two parties formed a _____________ government.,The _____________ was unstable and fell apart after only six months.,general election,tổng tuyển cử,subtitle,Phụ đề,documentary,phim tài liệu,make,"làm, chế tạo",home page,trang chủ,Politics and public institutions
ballot,/ˈbæl.ət/,noun,"lá phiếu, cuộc bỏ phiếu (trong bầu cử)",the system of voting in writing and usually in secret; an occasion on which a vote is held.,The results of the ballot will be announced tonight.,Kết quả bỏ phiếu sẽ được công bố tối nay.,Party members elected a new leader by ballot.,Các đảng viên đã bầu ra lãnh đạo mới bằng hình thức bỏ phiếu.,B2,,,,,The results of the _____________ will be announced tonight.,Party members elected a new leader by _____________.,constituency,cử tri đoàn/khu vực bầu cử,game show,chương trình trò chơi truyền hình,current affairs,vấn đề thời sự/vấn đề hiện nay,focus on,tập trung vào,navigate,"Điều hướng, dẫn đường, tìm đường",Politics and public institutions
member of parliament,ˌmembər əv ˈpɑːləmənt,noun,nghị sĩ,a person elected to parliament,The member of parliament spoke in the House of Commons.,Nghị sĩ đã phát biểu tại Hạ viện.,She became a member of parliament at a young age.,Cô ấy trở thành nghị sĩ khi còn trẻ.,B2,,,,,The _____________ spoke in the House of Commons.,She became a _____________ at a young age.,chamber,viện (trong quốc hội),weather forecast,dự báo thời tiết,means,"phương tiện, cách thức, giải pháp",popularly,"Một cách phổ biến, theo số đông.",cable,"Cáp, dây cáp",Politics and public institutions
legislature,ˈledʒɪsleɪtʃə(r),noun,cơ quan lập pháp,the law-making body of a country,The legislature is responsible for making laws.,Cơ quan lập pháp chịu trách nhiệm làm luật.,The legislature passed a new law today.,Cơ quan lập pháp đã thông qua một luật mới hôm nay.,C1,,,,,The _____________ is responsible for making laws.,The _____________ passed a new law today.,representative,"tiêu biểu, đại diện, mang tính đại diện",dub,lồng tiếng,talk show,"chương trình trò chuyện, talkshow",pay,"trả tiền, thanh toán",browser,trình duyệt,Politics and public institutions
federation,ˌfedəˈreɪʃn,noun,liên bang,a group of states with a central government,The country is a federation of several states.,Đất nước là một liên bang của một số bang.,The federation was established after the war.,Liên bang được thành lập sau chiến tranh.,C1,,,,,The country is a _____________ of several states.,The _____________ was established after the war.,majority,"Đa số, phần lớn",receive,"nhận (tín hiệu, thông tin, bản tin)",cartoon,tranh biếm họa,stream,phát trực tuyến,surf,lướt web,Politics and public institutions
branch,/brɑːntʃ/,Noun,Nhánh cây,"A part of a tree that grows out from the trunk and has leaves, flowers or fruit on it",The main road has three branches leading to the industrial zone.,Đường chính có ba nhánh dẫn đến khu công nghiệp.,The company is opening new branches in Asia.,Công ty đang mở các chi nhánh mới tại châu Á.,B1,,,,,The main road has three _____________ leading to the industrial zone.,The company is opening new _____________ in Asia.,select,"Chọn, lựa chọn",polling station,điểm bỏ phiếu,program,chương trình hóa (máy điện toán),broadcast,"phát sóng, truyền hình/phát thanh",bookmark,dấu trang,Politics and public institutions
monarchy,/ˈmɒnəki/,noun,"Chế độ quân chủ, nền quân chủ",A system of government by a king or queen; a country that is ruled by a king or queen,The monarchy still plays a ceremonial role in many countries.,Chế độ quân chủ vẫn đóng một vai trò nghi lễ ở nhiều quốc gia.,Some countries abolished the monarchy and became republics.,Một số nước đã bãi bỏ chế độ quân chủ và trở thành nước cộng hòa.,B2,,,,,The _____________ still plays a ceremonial role in many countries.,Some countries abolished the _____________ and became republics.,minister,Bộ trưởng,polling day,ngày bầu cử/ngày bỏ phiếu,soap opera,Phim truyền hình dài tập (xà phòng),tabloid,"báo lá cải (thường tập trung vào giật gân, tin tức về người nổi tiếng)",access,"quyền truy cập, sự tiếp cận",Politics and public institutions
democracy,/dɪˈmɒkrəsi/,noun,Nền dân chủ,A system of government in which the people of a country can vote to elect their representatives,"However, in recent years, there has been a noticeable shift toward multiparty democracy, marking a significant political transformation across the continent.","Tuy nhiên, trong những năm gần đây, đã có một sự chuyển dịch rõ rệt hướng tới nền dân chủ đa đảng, đánh dấu một sự chuyển đổi chính trị quan trọng trên khắp lục địa.",Democracy depends on an informed electorate.,Nền dân chủ phụ thuộc vào một cử tri được thông tin đầy đủ.,B2,,,,,"However, in recent years, there has been a noticeable shift toward multiparty _____________, marking a significant political transformation across the continent.",_____________ depends on an informed electorate.,prime minister,Thủ tướng,parliamentary,thuộc về nghị viện,investigate,Điều tra,televise,phát sóng (trên truyền hình),Wi-Fi,mạng không dây Wi-Fi,Politics and public institutions
dictatorship,/dɪkˈteɪtəʃɪp/,noun,Chế độ độc tài,Government by a dictator who has complete power,Few maintained civilian governments without periods of military rule or dictatorship.,Rất ít nước duy trì được chính phủ dân sự mà không có những giai đoạn cai trị quân sự hoặc chế độ độc tài.,The country suffered under a military dictatorship for decades.,Đất nước này đã chịu đựng dưới chế độ độc tài quân sự trong nhiều thập kỷ.,C1,,,,,Few maintained civilian governments without periods of military rule or _____________.,The country suffered under a military _____________ for decades.,head,"đi về hướng, lãnh đạo",general election,tổng tuyển cử,detective,"Thám tử, điều tra viên",sitcom,phim hài tình huống,wireless,không dây,Politics and public institutions
presidential,/ˌprezɪˈdenʃl/,adjective,"Thuộc về tổng thống, chủ tịch",Connected with a president,The presidential election is held every four years.,Cuộc bầu cử tổng thống được tổ chức bốn năm một lần.,They attended the presidential inauguration.,Họ đã tham dự lễ nhậm chức tổng thống.,B2,,,,,The _____________ election is held every four years.,They attended the _____________ inauguration.,senate,Thượng viện,constituency,cử tri đoàn/khu vực bầu cử,drama,"kịch, chính kịch, tuồng",presenter,người dẫn chương trình,log off,đăng xuất,Politics and public institutions
government,/ˈɡʌvənmənt/,noun,"Chính phủ, chính quyền",The group of people who are responsible for controlling a country or a state,The government announced a new policy.,Chính phủ đã công bố một chính sách mới.,Government spending on health has increased.,Chi tiêu của chính phủ cho y tế đã tăng.,A2,,,,,The _____________ announced a new policy.,_____________ spending on health has increased.,parliament,"Quốc hội, nghị viện",chamber,viện (trong quốc hội),news,Tin tức,mass media,phương tiện truyền thông đại chúng,link,"liên kết, nối kết",Politics and public institutions
congress,/ˈkɒŋɡres/,noun,"Quốc hội (Mỹ), đại hội","A large formal meeting or series of meetings where representatives from different groups discuss ideas, make decisions, etc.; (in the US and some other countries) the name of the group of people who are elected to make laws",The bill was passed by Congress and signed into law.,Dự luật đã được Quốc hội thông qua và ký thành luật.,An international congress of scientists was held in Vienna.,Một đại hội quốc tế các nhà khoa học đã được tổ chức tại Vienna.,B2,,,,,The bill was passed by _____________ and signed into law.,An international _____________ of scientists was held in Vienna.,candidate,"Ứng viên, người ứng cử",representative,"tiêu biểu, đại diện, mang tính đại diện",sport,thể thao,documentary,phim tài liệu,page,trang,Politics and public institutions
judge,/dʒʌdʒ/,noun,"thẩm phán, giám khảo",a person in a court who has the authority to decide how criminals should be punished or to make legal decisions,It is difficult to judge the impact of the new policy.,Rất khó để đánh giá tác động của chính sách mới.,Do not judge her too harshly.,Đừng đánh giá cô ấy quá khắt khe.,B1,,,,,It is difficult to _____________ the impact of the new policy.,Do not _____________ her too harshly.,seat,"chỗ ngồi, ghế",majority,"Đa số, phần lớn",subtitle,Phụ đề,current affairs,vấn đề thời sự/vấn đề hiện nay,network,mạng lưới,Politics and public institutions
elect,/ɪˈlekt/,verb,"Bầu, lựa chọn",To choose somebody to do a particular job by voting for them.,The committee elected him as their new chairman.,Ủy ban đã bầu ông ấy làm chủ tịch mới.,Voters will elect a new mayor next month.,Cử tri sẽ bầu một tân thị trưởng vào tháng tới.,B1,,,,,The committee _____________ him as their new chairman.,Voters will _____________ a new mayor next month.,politician,chính trị gia,select,"Chọn, lựa chọn",game show,chương trình trò chơi truyền hình,means,"phương tiện, cách thức, giải pháp",website,Trang web,Politics and public institutions
party,/ˈpɑːti/,noun,Đảng chính trị,A political organization that you can vote for in elections and whose members have the same aims and ideas.,The office is throwing a farewell party for Mr. Lee.,"Văn phòng đang tổ chức một bữa tiệc, buổi liên hoan chia tay cho ông Lee.",We were invited to a birthday party last weekend.,"Chúng tôi được mời dự một bữa tiệc, buổi liên hoan sinh nhật vào cuối tuần trước.",B1,,,,,The office is throwing a farewell _____________ for Mr. Lee.,We were invited to a birthday _____________ last weekend.,coalition,liên minh (chính phủ),minister,Bộ trưởng,weather forecast,dự báo thời tiết,talk show,"chương trình trò chuyện, talkshow",broadband,băng thông rộng,Politics and public institutions
president,/ˈprezɪdənt/,noun,"Chủ tịch, tổng thống","the person in charge of some organizations, clubs, colleges, etc. or the leader of a republic",The President will address the nation tonight.,Tổng thống sẽ có bài phát biểu trước quốc dân tối nay.,She is running for President.,Bà ấy đang tranh cử Tổng thống.,A2,,,,,The _____________ will address the nation tonight.,She is running for _____________.,ballot,"lá phiếu, cuộc bỏ phiếu (trong bầu cử)",prime minister,Thủ tướng,dub,lồng tiếng,cartoon,tranh biếm họa,browse,"duyệt, xem lướt qua",Politics and public institutions
house,/haʊs/,noun,ngôi nhà,"a building for people to live in, usually for one family",The company provides a housing allowance for relocating employees.,Công ty cung cấp trợ cấp nhà ở cho nhân viên chuyển chỗ ở.,The house has a two-car garage.,Ngôi nhà có một nhà để xe hai ô tô.,A1,,,,,The company provides a _____________ allowance for relocating employees.,The _____________ has a two-car garage.,member of parliament,nghị sĩ,head,"đi về hướng, lãnh đạo",receive,"nhận (tín hiệu, thông tin, bản tin)",program,chương trình hóa (máy điện toán),timeline,dòng thời gian (trên mạng xã hội),Politics and public institutions
